train on nosun ,val on sun
baseline
                   Class      Images    top1_acc    top5_acc
                     all        2636       0.503       0.761
                 1_empty         271       0.996           1
                  1_full          22           1           1
                 2_empty         262       0.748           1
                  2_full          31       0.871       0.968
                 3_empty         271       0.487       0.993
                  3_full          22       0.773       0.955
                 4_empty         273        0.85           1
                  4_full          20           1           1
                 5_empty         267       0.277       0.386
                  5_full          26           1           1
                 6_empty         274       0.161       0.164
                  6_full          18           1           1
                 7_empty         281       0.384       0.947
                  7_full          12           1           1
                 8_empty         277       0.173       0.556
                  8_full          16           1           1
                 9_empty         284        0.19       0.662
                  9_full           9           1           1

random_shade
                   Class      Images    top1_acc    top5_acc
                     all        2636       0.764       0.931
                 1_empty         271       0.996       0.996
                  1_full          22           1           1
                 2_empty         262           1           1
                  2_full          31       0.935       0.968
                 3_empty         271       0.753           1
                  3_full          22       0.818       0.955
                 4_empty         273           1           1
                  4_full          20        0.95           1
                 5_empty         267        0.39       0.633
                  5_full          26           1           1
                 6_empty         274       0.445       0.708
                  6_full          18           1           1
                 7_empty         281       0.986           1
                  7_full          12       0.917           1
                 8_empty         277       0.365       0.993
                  8_full          16       0.938           1
                 9_empty         284       0.827           1
                  9_full           9           1           1

shade_-30
                   Class      Images    top1_acc    top5_acc
                     all        2636       0.641       0.836
                 1_empty         271           1           1
                  1_full          22       0.955           1
                 2_empty         262        0.87           1
                  2_full          31       0.871       0.968
                 3_empty         271       0.804       0.993
                  3_full          22       0.773       0.864
                 4_empty         273           1           1
                  4_full          20        0.95           1
                 5_empty         267       0.146       0.745
                  5_full          26           1           1
                 6_empty         274       0.164       0.168
                  6_full          18           1           1
                 7_empty         281           1           1
                  7_full          12           1           1
                 8_empty         277       0.307       0.736
                  8_full          16           1           1
                 9_empty         284       0.299       0.796
                  9_full           9           1           1
shade_+30
                   Class      Images    top1_acc    top5_acc
                     all        2636       0.823        0.92
                 1_empty         271       0.996           1
                  1_full          22           1           1
                 2_empty         262           1           1
                  2_full          31       0.871       0.968
                 3_empty         271           1           1
                  3_full          22       0.727       0.864
                 4_empty         273           1           1
                  4_full          20         0.9           1
                 5_empty         267        0.36       0.704
                  5_full          26       0.923           1
                 6_empty         274       0.164       0.533
                  6_full          18           1           1
                 7_empty         281           1           1
                  7_full          12       0.833           1
                 8_empty         277       0.841           1
                  8_full          16       0.938           1
                 9_empty         284       0.986           1
                  9_full           9       0.889           1
shade_+60
                   Class      Images    top1_acc    top5_acc
                     all        2636       0.916        0.95
                 1_empty         271       0.996           1
                  1_full          22           1           1
                 2_empty         262       0.958           1
                  2_full          31       0.871       0.968
                 3_empty         271           1           1
                  3_full          22       0.818           1
                 4_empty         273           1           1
                  4_full          20        0.95           1
                 5_empty         267       0.345       0.513
                  5_full          26           1           1
                 6_empty         274        0.92       0.996
                  6_full          18           1           1
                 7_empty         281           1           1
                  7_full          12       0.917           1
                 8_empty         277           1           1
                  8_full          16       0.938           1
                 9_empty         284       0.996           1
                  9_full           9           1           1
shade_+90
                   Class      Images    top1_acc    top5_acc
                     all        2636        0.83       0.988
                 1_empty         271           1           1
                  1_full          22       0.636           1
                 2_empty         262           1           1
                  2_full          31       0.452       0.968
                 3_empty         271       0.679           1
                  3_full          22         0.5           1
                 4_empty         273           1           1
                  4_full          20         0.7           1
                 5_empty         267       0.521           1
                  5_full          26       0.885           1
                 6_empty         274        0.42       0.891
                  6_full          18       0.778           1
                 7_empty         281           1           1
                  7_full          12         0.5           1
                 8_empty         277           1           1
                  8_full          16       0.375           1
                 9_empty         284       0.975           1
                  9_full           9       0.667           1


train on all, val on 
all+60:
                   Class      Images    top1_acc    top5_acc
                     all       20592        0.71       0.909
                 1_empty        1072       0.969           1
                  1_full        1216       0.947           1
                 2_empty         997       0.357       0.733
                  2_full        1291       0.805       0.993
                 3_empty        1823       0.319       0.835
                  3_full         465       0.927       0.996
                 4_empty        1380       0.984       0.997
                  4_full         908       0.935        0.99
                 5_empty        1032       0.209       0.543
                  5_full        1256       0.476       0.897
                 6_empty        1685       0.437       0.677
                  6_full         603       0.652       0.993
                 7_empty        1853       0.988       0.999
                  7_full         435       0.926       0.977
                 8_empty        1493       0.726       0.956
                  8_full         795       0.901       0.997
                 9_empty        1779        0.77       0.977
                  9_full         509       0.914       0.986
all+baseline:
                   Class      Images    top1_acc    top5_acc
                     all       20592       0.438       0.737
                 1_empty        1072       0.938       0.993
                  1_full        1216       0.907           1
                 2_empty         997       0.198       0.407
                  2_full        1291       0.976           1
                 3_empty        1823       0.135       0.346
                  3_full         465        0.54       0.961
                 4_empty        1380       0.358       0.928
                  4_full         908       0.953       0.992
                 5_empty        1032       0.204       0.539
                  5_full        1256       0.538       0.971
                 6_empty        1685      0.0926       0.326
                  6_full         603       0.522       0.968
                 7_empty        1853       0.235       0.872
                  7_full         435       0.943       0.979
                 8_empty        1493       0.175       0.602
                  8_full         795       0.913           1
                 9_empty        1779       0.191       0.522
                  9_full         509       0.132       0.741
shade_+40
                   Class      Images    top1_acc    top5_acc
                     all       20592       0.643       0.877
                 1_empty        1072       0.969           1
                  1_full        1216       0.954       0.999
                 2_empty         997       0.239       0.785
                  2_full        1291       0.927       0.997
                 3_empty        1823       0.323       0.636
                  3_full         465       0.727       0.938
                 4_empty        1380       0.798       0.993
                  4_full         908       0.963       0.996
                 5_empty        1032       0.423       0.746
                  5_full        1256        0.67       0.955
                 6_empty        1685       0.219       0.444
                  6_full         603       0.337       0.942
                 7_empty        1853       0.985       0.996
                  7_full         435       0.963       0.986
                 8_empty        1493       0.296       0.902
                  8_full         795       0.887           1
                 9_empty        1779       0.568       0.913
                  9_full         509       0.876       0.996
shade_+50
                   Class      Images    top1_acc    top5_acc
                     all       20592       0.694       0.858
                 1_empty        1072       0.969       0.993
                  1_full        1216       0.834       0.993
                 2_empty         997       0.663       0.781
                  2_full        1291        0.72        0.98
                 3_empty        1823       0.383       0.516
                  3_full         465       0.535       0.826
                 4_empty        1380       0.989           1
                  4_full         908       0.948       0.998
                 5_empty        1032       0.205       0.396
                  5_full        1256       0.305       0.877
                 6_empty        1685       0.536       0.732
                  6_full         603       0.713       0.997
                 7_empty        1853       0.992       0.999
                  7_full         435       0.862       0.986
                 8_empty        1493        0.67       0.915
                  8_full         795       0.956           1
                 9_empty        1779       0.678       0.823
                  9_full         509       0.709       0.941
+70
                   Class      Images    top1_acc    top5_acc
                     all       20592       0.683       0.868
                 1_empty        1072        0.91           1
                  1_full        1216       0.941           1
                 2_empty         997       0.252       0.767
                  2_full        1291       0.783        0.99
                 3_empty        1823       0.298       0.463
                  3_full         465       0.499       0.942
                 4_empty        1380       0.975       0.998
                  4_full         908       0.945       0.989
                 5_empty        1032       0.251       0.621
                  5_full        1256       0.479        0.92
                 6_empty        1685       0.399       0.571
                  6_full         603       0.692       0.997
                 7_empty        1853       0.986       0.994
                  7_full         435       0.908       0.986
                 8_empty        1493       0.674       0.929
                  8_full         795       0.894       0.986
                 9_empty        1779       0.818       0.954
                  9_full         509       0.717        0.98



train on both , val on each 3
baseline
val-all
                  Class      Images    top1_acc    top5_acc
                     all        9017       0.985       0.999
                 1_empty         533       0.996           1
                  1_full         469       0.987           1
                 2_empty         488       0.986       0.998
                  2_full         514       0.977       0.998
                 3_empty         776       0.994           1
                  3_full         226       0.925       0.991
                 4_empty         633       0.995           1
                  4_full         369        0.97           1
                 5_empty         497        0.99           1
                  5_full         505       0.974           1
